,Year,Team,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,SOS
113,2002,MIL,Dan Gadzuric,Career,UCLA,,122.0,102.0,24.1,4.5,8.2,0.5479999999999999,4.5,8.2,0.5489999999999999,0.0,0.0,0.0,1.6,3.5,0.449,,,6.6,0.6,0.7,1.5,1.8,2.8,10.5,,10.45
115,2002,HOU,Tito Maddox,Career,Fresno State,,25.0,24.0,32.3,4.4,11.2,0.391,3.6,8.4,0.42700000000000005,0.8,2.8,0.28600000000000003,3.9,5.5,0.703,1.2,4.5,5.8,8.0,1.6,0.2,5.2,2.7,13.5,,5.14
116,2002,WAS,Rod Grizzard,Career,Alabama,,100.0,94.0,30.3,5.0,12.4,0.402,3.3,6.9,0.48,1.7,5.5,0.304,3.2,4.1,0.785,,,5.8,1.7,1.1,1.0,2.4,2.3,14.9,,7.19
117,2002,POR,Jason Jennings,Career,Overall,,119.0,75.0,19.4,3.7,6.8,0.545,3.7,6.8,0.545,0.0,0.0,,1.9,2.6,0.714,,,4.7,0.6,0.3,2.2,1.5,2.3,9.3,,1.76
118,2002,CHI,Lonny Baxter,Career,Maryland,,138.0,115.0,24.4,5.2,9.3,0.5529999999999999,5.1,9.3,0.5529999999999999,0.0,0.0,0.6,3.1,5.2,0.6,,,7.2,0.7,0.9,1.6,1.6,3.0,13.5,,9.73
119,2002,PHI,Sam Clancy,Career,USC,,113.0,102.0,31.1,5.6,11.3,0.495,5.6,11.3,0.495,0.0,0.0,0.4,3.5,5.6,0.617,,,7.4,1.2,1.2,1.7,1.7,2.6,14.7,,8.88
120,2002,MEM,Matt Barnes,Career,UCLA,,121.0,66.0,22.6,3.3,7.1,0.469,2.8,5.5,0.514,0.5,1.6,0.314,1.7,2.9,0.5660000000000001,,,4.8,2.0,1.0,0.4,2.0,2.2,8.8,,10.45
121,2002,UTA,Jamal Sampson,Career,California,,32.0,31.0,24.9,2.4,5.7,0.426,2.4,5.7,0.426,0.0,0.0,,1.6,3.0,0.526,2.5,4.1,6.5,1.2,0.5,1.7,1.7,2.7,6.4,,7.45
122,2002,MIL,Chris Owens,Career,Overall,,106.0,61.0,25.0,3.8,8.5,0.453,3.7,7.9,0.471,0.1,0.6,0.231,3.0,5.0,0.598,,,6.4,0.8,1.0,1.8,1.7,2.7,10.8,,7.71
123,2002,BOS,Darius Songaila,Career,Wake Forest,,130.0,120.0,26.2,4.9,9.6,0.511,4.8,9.3,0.516,0.1,0.3,0.34299999999999997,4.4,5.3,0.831,,,6.3,1.8,1.1,0.7,2.8,3.3,14.3,,9.46
124,2002,MIN,Marcus Taylor,Career,Michigan State,,59.0,38.0,28.1,4.2,10.6,0.39899999999999997,2.9,6.6,0.43700000000000006,1.3,4.0,0.335,2.2,2.8,0.795,0.3,1.7,2.1,4.4,0.7,0.1,2.6,1.7,12.1,,9.57
125,2002,MIA,Rasual Butler,Career,La Salle,,110.0,108.0,38.3,6.8,16.7,0.409,4.3,9.6,0.447,2.6,7.1,0.359,3.1,3.7,0.8290000000000001,,,5.9,1.6,1.0,1.1,2.7,1.8,19.3,,3.11
126,2002,NJN,Tamar Slay,Career,Marshall,,114.0,87.0,28.8,5.5,12.4,0.44299999999999995,3.3,6.7,0.491,2.2,5.7,0.386,2.5,3.4,0.7490000000000001,,,4.4,2.2,1.2,0.5,2.4,2.3,15.7,,0.61
127,2002,SAS,Randy Holcomb,Career,Overall,,93.0,60.0,25.3,4.8,10.1,0.473,4.4,8.8,0.498,0.4,1.3,0.315,2.5,3.9,0.644,,,6.2,1.2,0.7,0.7,2.8,2.0,12.5,,4.13
128,2002,SAC,Corsley Edwards,Career,Central Connecticut,,123.0,86.0,27.6,5.3,10.4,0.509,5.3,10.4,0.51,0.0,0.0,0.0,3.5,5.0,0.688,,,7.9,0.8,0.9,1.6,2.1,,14.1,,-9.85
133,2003,CHI,Kirk Hinrich,Career,Kansas,,141.0,118.0,29.7,4.4,8.8,0.493,2.7,5.0,0.542,1.7,3.9,0.43,2.0,2.6,0.7759999999999999,,,3.8,4.7,1.5,0.4,2.7,2.7,12.4,,9.68
134,2003,MIL,T.J. Ford,Career,Texas,,66.0,66.0,33.0,4.3,10.5,0.406,3.9,9.0,0.436,0.3,1.5,0.228,4.0,5.0,0.8009999999999999,0.7,3.2,3.8,8.0,2.1,0.1,3.6,2.6,12.9,,9.63
135,2003,NYK,Mike Sweetney,Career,Georgetown,,96.0,95.0,29.0,6.3,11.6,0.544,6.3,11.6,0.546,0.0,0.0,0.0,5.6,7.7,0.727,3.6,5.6,9.2,1.8,1.1,1.9,2.5,2.3,18.2,,4.02
136,2003,WAS,Jarvis Hayes,Career,Overall,,84.0,82.0,31.4,6.8,15.0,0.457,5.0,9.9,0.502,1.9,5.1,0.369,2.4,3.1,0.772,,,5.0,1.5,1.3,0.5,1.7,2.3,18.0,,5.2
137,2003,SEA,Nick Collison,Career,Kansas,,142.0,130.0,27.4,6.0,10.7,0.562,5.9,10.3,0.5710000000000001,0.2,0.5,0.359,2.5,4.0,0.624,,,8.0,1.8,1.1,1.7,2.4,2.9,14.8,,9.68
